Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Dominick Reyes ,win, Volkan Oezdemir, 3, 5:00, UFC Fight Night 147 - Till vs. Masvidal,Mar , 16 , 2019, Decision ,Split,Leon Roberts
Dominick Reyes ,win, Ovince St. Preux, 3, 5:00, UFC 229 - Nurmagomedov vs. McGregor,Oct , 06 , 2018, Decision ,Unanimous,Dan Miragliotta
Dominick Reyes ,win, Jared Cannonier, 1, 2:55, UFC Fight Night 129 - Maia vs. Usman,May , 19 , 2018, TKO ,Punches,Marc Goddard
Dominick Reyes ,win, Jeremy Kimball, 1, 3:39, UFC 218 - Holloway vs. Aldo 2,Dec , 02 , 2017, Submission ,Rear-Naked Choke,Bobby Wombacher
Dominick Reyes ,win, Joachim Christensen, 1, 0:29, UFC Fight Night 112 - Chiesa vs. Lee,Jun , 25 , 2017, TKO ,Punches,Gary Ritter
Dominick Reyes ,win, Jordan Powell, 1, 0:53, LFA 13 - Millender vs. Holland,Jun , 02 , 2017, KO ,Head Kick,Mike Beltran
Dominick Reyes ,win, Marcus Govan, 1, 0:27, HFC 32 - Hoosier Fight Club 32,Feb , 11 , 2017, KO ,Head Kick,N/A
Dominick Reyes ,win, Tyler Smith, 1, 1:35, KOTC - Martial Law,Sep , 18 , 2016, TKO ,Punches,Michael Bell
Dominick Reyes ,win, Kelly Gray, 3, 5:00, KOTC - Sinister Intentions,Oct , 17 , 2015, Decision ,Unanimous,Jason Herzog
Dominick Reyes ,win, Jessie Glass, 1, 0:55, Gladiator Challenge - Carnage,Apr , 03 , 2015, Submission ,Guillotine Choke,Raul Porrata
Dominick Reyes ,win, Jose Rivas Jr., 1, 3:23, KOTC - Fisticuffs,Dec , 04 , 2014, TKO ,Punches,N/A
Dominick Reyes ,Result, Fighter, R, Time, E,vent,,, Method/Referee,,
Dominick Reyes ,win, Shane Merveau, 1, :09, U of MMA - Fight Night 8,Aug , 24 , 2014, TKO ,Punches,N/A
Dominick Reyes ,win, Osman Diaz, 1, :27, U of MMA - Fight Night 7,Jun , 01 , 2014, SubmissionN/A,,
Dominick Reyes ,win, Bruno Casillas, 3, 2:00, U of MMA - Fight Night 6,Mar , 30 , 2014, Decision ,Unanimous,N/A
Dominick Reyes ,win, Tywone Cotton, 1, 1:20, Spar Star Promotions - Who's Next,Jan , 25 , 2014, KO ,Punch,N/A
Dominick Reyes ,win, Renato Gudino, 1, 1:22, U of MMA - Fight Night 4,Dec , 08 , 2013, SubmissionN/A,,
