win, Yoel Romero, 5, 5:00,Event,Month,Day,Year,Method,Finish,Referee
win, Ronaldo Souza, 2, 3:28, UFC on Fox 24 - Johnson vs. Reis,Apr , 15 , 2017, TKO ,Head Kick and Punches,Mario Yamasaki
win, Derek Brunson, 1, 4:07, UFC Fight Night 101 - Whittaker vs. Brunson,Nov , 26 , 2016, TKO ,Head Kick and Punches,Herb Dean
win, Rafael Natal, 3, 5:00, UFC 197 - Jones vs. St. Preux,Apr , 23 , 2016, Decision ,Unanimous,John McCarthy
win, Uriah Hall, 3, 5:00, UFC 193 - Rousey vs. Holm,Nov , 14 , 2015, Decision ,Unanimous,Steve Perceval
win, Brad Tavares, 1, 0:44, UFC Fight Night 65 - Miocic vs. Hunt,May , 10 , 2015, KO ,Punches,Steve Perceval
win, Clint Hester, 2, 2:43, UFC Fight Night 55 - Rockhold vs. Bisping,Nov , 07 , 2014, TKO ,Knee and Punches,John Sharp
win, Mike Rhodes, 3, 5:00, UFC Fight Night 43 - Te Huna vs. Marquardt,Jun , 28 , 2014, Decision ,Unanimous,Steve Perceval
loss, Stephen Thompson, 1, 3:43, UFC 170 - Rousey vs. McMann,Feb , 22 , 2014, TKO ,Punches,Mario Yamasaki
loss, Court McGee, 3, 5:00, UFC Fight Night 27 - Condit vs. Kampmann 2,Aug , 28 , 2013, Decision ,Split,Herb Dean
win, Colton Smith, 3, 0:41, UFC 160 - Velasquez vs. Bigfoot 2,May , 25 , 2013, TKO ,Punches,Chris Tognoni
win, Bradley Scott, 3, 5:00, UFC on FX 6 - Sotiropoulos vs. Pearson,Dec , 15 , 2012, Decision ,Unanimous,Steve Perceval
loss, Jesse Juarez, 5, 5:00, CFC 21 - Cage Fighting Championship 21,May , 18 , 2012, Decision ,Unanimous,Steve Perceval
win, Shaun Spooner, 1, 4:01, SA - Superfight Australia 13,Mar , 23 , 2012, TKO ,Punches,N/A
win, Ian Bone, 2, 3:15, CFC 19 - Falciroli vs. Honstein,Dec , 09 , 2011, TKO ,Punches,John Sharp
loss, Hoon Kim, 1, 3:01, Legend FC - Legend Fighting Championship 6,Oct , 30 , 2011, Submission ,Triangle Choke,Warren Wang
win, Corey Nelson, 2, 4:40, CFC 18 - Juarez vs. Rodriguez,Aug , 26 , 2011, Submission ,Armbar,Steve Perceval
win, Ben Alloway, 2, 4:07, CFC - Cage Fighting Championship 17,Jun , 03 , 2011, Submission ,Rear-Naked Choke,N/A
win, Nate Thomson, 1, 2:21, CFC - Cage Fighting Championships 15,Oct , 08 , 2010, Submission ,Rear-Naked Choke,N/A
win, Jay Cobain, 2, 0:32, CFC  - Cage Fighting Championships 14,Jun , 05 , 2010, Submission ,Armbar,N/A
win, Nick Ariel, 2, 2:50, CFC 12 - Lombard vs. Santore,Mar , 12 , 2010, KO ,Punch,John Sharp
win, Richard Walsh, 2, 2:40, CFC - Cage Fighting Championships 11,Nov , 20 , 2009, Submission ,Rear-Naked Choke,N/A
win, Chris Tallowin, 1, N/A, XFC - Return of the Hulk,Mar , 14 , 2009, TKO ,Punches, N/A
